,Unnamed: 0,SPX
0,1990-02-01 00:00:00,328.79
1,1990-02-02 00:00:00,330.92
2,1990-02-05 00:00:00,331.85
3,1990-02-06 00:00:00,329.66
4,1990-02-07 00:00:00,333.75
5,1990-02-08 00:00:00,332.96
6,1990-02-09 00:00:00,333.62
7,1990-02-12 00:00:00,330.08
8,1990-02-13 00:00:00,331.02
9,1990-02-14 00:00:00,332.01
10,1990-02-15 00:00:00,334.89
11,1990-02-16 00:00:00,332.72
12,1990-02-20 00:00:00,327.99
13,1990-02-21 00:00:00,327.67
14,1990-02-22 00:00:00,325.7
15,1990-02-23 00:00:00,324.15
16,1990-02-26 00:00:00,328.67
17,1990-02-27 00:00:00,330.26
18,1990-02-28 00:00:00,331.89
19,1990-03-01 00:00:00,332.74
20,1990-03-02 00:00:00,335.54
21,1990-03-05 00:00:00,333.74
22,1990-03-06 00:00:00,337.93
23,1990-03-07 00:00:00,336.95
24,1990-03-08 00:00:00,340.27
25,1990-03-09 00:00:00,337.93
26,1990-03-12 00:00:00,338.67
27,1990-03-13 00:00:00,336.0
28,1990-03-14 00:00:00,336.87
29,1990-03-15 00:00:00,338.07
30,1990-03-16 00:00:00,341.91
31,1990-03-19 00:00:00,343.53
32,1990-03-20 00:00:00,341.57
33,1990-03-21 00:00:00,339.74
34,1990-03-22 00:00:00,335.69
35,1990-03-23 00:00:00,337.22
36,1990-03-26 00:00:00,337.63
37,1990-03-27 00:00:00,341.5
38,1990-03-28 00:00:00,342.0
39,1990-03-29 00:00:00,340.79
40,1990-03-30 00:00:00,339.94
41,1990-04-02 00:00:00,338.7
42,1990-04-03 00:00:00,343.64
43,1990-04-04 00:00:00,341.09
44,1990-04-05 00:00:00,340.73
45,1990-04-06 00:00:00,340.08
46,1990-04-09 00:00:00,341.37
47,1990-04-10 00:00:00,342.07
48,1990-04-11 00:00:00,341.92
49,1990-04-12 00:00:00,344.34
50,1990-04-16 00:00:00,344.74
51,1990-04-17 00:00:00,344.68
52,1990-04-18 00:00:00,340.72
53,1990-04-19 00:00:00,338.09
54,1990-04-20 00:00:00,335.12
55,1990-04-23 00:00:00,331.05
56,1990-04-24 00:00:00,330.36
57,1990-04-25 00:00:00,332.03
58,1990-04-26 00:00:00,332.92
59,1990-04-27 00:00:00,329.11
60,1990-04-30 00:00:00,330.8
61,1990-05-01 00:00:00,332.25
62,1990-05-02 00:00:00,334.48
63,1990-05-03 00:00:00,335.57
64,1990-05-04 00:00:00,338.39
65,1990-05-07 00:00:00,340.53
66,1990-05-08 00:00:00,342.01
67,1990-05-09 00:00:00,342.86
68,1990-05-10 00:00:00,343.82
69,1990-05-11 00:00:00,352.0
70,1990-05-14 00:00:00,354.75
71,1990-05-15 00:00:00,354.28
72,1990-05-16 00:00:00,354.0
73,1990-05-17 00:00:00,354.47
74,1990-05-18 00:00:00,354.64
75,1990-05-21 00:00:00,358.0
76,1990-05-22 00:00:00,358.43
77,1990-05-23 00:00:00,359.29
78,1990-05-24 00:00:00,358.41
79,1990-05-25 00:00:00,354.58
80,1990-05-29 00:00:00,360.65
81,1990-05-30 00:00:00,360.86
82,1990-05-31 00:00:00,361.23
83,1990-06-01 00:00:00,363.16
84,1990-06-04 00:00:00,367.4
85,1990-06-05 00:00:00,366.64
86,1990-06-06 00:00:00,364.96
87,1990-06-07 00:00:00,363.15
88,1990-06-08 00:00:00,358.71
89,1990-06-11 00:00:00,361.63
90,1990-06-12 00:00:00,366.25
91,1990-06-13 00:00:00,364.9
92,1990-06-14 00:00:00,362.9
93,1990-06-15 00:00:00,362.91
94,1990-06-18 00:00:00,356.88
95,1990-06-19 00:00:00,358.47
96,1990-06-20 00:00:00,359.1
97,1990-06-21 00:00:00,360.47
98,1990-06-22 00:00:00,355.43
99,1990-06-25 00:00:00,352.31
100,1990-06-26 00:00:00,352.06
101,1990-06-27 00:00:00,355.14
102,1990-06-28 00:00:00,357.63
103,1990-06-29 00:00:00,358.02
104,1990-07-02 00:00:00,359.54
105,1990-07-03 00:00:00,360.16
106,1990-07-05 00:00:00,355.68
107,1990-07-06 00:00:00,358.42
108,1990-07-09 00:00:00,359.52
109,1990-07-10 00:00:00,356.49
110,1990-07-11 00:00:00,361.23
111,1990-07-12 00:00:00,365.44
112,1990-07-13 00:00:00,367.31
113,1990-07-16 00:00:00,368.95
114,1990-07-17 00:00:00,367.52
115,1990-07-18 00:00:00,364.22
116,1990-07-19 00:00:00,365.32
117,1990-07-20 00:00:00,361.61
118,1990-07-23 00:00:00,355.31
119,1990-07-24 00:00:00,355.79
120,1990-07-25 00:00:00,357.09
121,1990-07-26 00:00:00,355.91
122,1990-07-27 00:00:00,353.44
123,1990-07-30 00:00:00,355.55
124,1990-07-31 00:00:00,356.15
125,1990-08-01 00:00:00,355.52
126,1990-08-02 00:00:00,351.48
127,1990-08-03 00:00:00,344.86
128,1990-08-06 00:00:00,334.43
129,1990-08-07 00:00:00,334.83
130,1990-08-08 00:00:00,338.35
131,1990-08-09 00:00:00,339.94
132,1990-08-10 00:00:00,335.52
133,1990-08-13 00:00:00,338.84
134,1990-08-14 00:00:00,339.39
135,1990-08-15 00:00:00,340.06
136,1990-08-16 00:00:00,332.39
137,1990-08-17 00:00:00,327.83
138,1990-08-20 00:00:00,328.51
139,1990-08-21 00:00:00,321.86
140,1990-08-22 00:00:00,316.55
141,1990-08-23 00:00:00,307.06
142,1990-08-24 00:00:00,311.51
143,1990-08-27 00:00:00,321.44
144,1990-08-28 00:00:00,321.34
145,1990-08-29 00:00:00,324.19
146,1990-08-30 00:00:00,318.71
147,1990-08-31 00:00:00,322.56
148,1990-09-04 00:00:00,323.09
149,1990-09-05 00:00:00,324.39
150,1990-09-06 00:00:00,320.46
151,1990-09-07 00:00:00,323.4
152,1990-09-10 00:00:00,321.63
153,1990-09-11 00:00:00,321.04
154,1990-09-12 00:00:00,322.54
155,1990-09-13 00:00:00,318.65
156,1990-09-14 00:00:00,316.83
157,1990-09-17 00:00:00,317.77
158,1990-09-18 00:00:00,318.6
159,1990-09-19 00:00:00,316.6
160,1990-09-20 00:00:00,311.48
161,1990-09-21 00:00:00,311.32
162,1990-09-24 00:00:00,304.59
163,1990-09-25 00:00:00,308.26
164,1990-09-26 00:00:00,305.06
165,1990-09-27 00:00:00,300.97
